id;event_name;event_owners;groom_parents;bride_parents;wedding_date;reception_time;wedding_time
1;how;sympathetically what happily;oh antagonize;jaunty;2025-04-03;2025-04-04T13:12:24;2025-04-03T22:00:14
2;boohoo seemingly ew;out;woot if;dislocate where;2025-04-04;2025-04-04T02:11:55;2025-04-04T01:54:48
3;geez fraudster;aftermath concerning;bell;eventually;2025-04-04;2025-04-04T03:25:57;2025-04-03T18:47:12
4;vice unearth;whose meh;wisely patiently;profitable although after;2025-04-03;2025-04-04T06:31:00;2025-04-04T07:31:47
5;though even amid;lest truthfully whereas;including consequently;bashfully blah all;2025-04-03;2025-04-03T19:41:16;2025-04-03T21:55:55
6;genuine design rarely;pfft bloom pigpen;hm typewriter;and;2025-04-03;2025-04-04T15:36:05;2025-04-04T02:41:51
7;supposing owlishly;lively upsell mmm;ha;delight on;2025-04-04;2025-04-04T06:24:04;2025-04-03T21:19:10
8;finally mild;angrily joyously amidst;why openly minus;vet abnegate adjourn;2025-04-04;2025-04-04T05:06:53;2025-04-04T10:09:14
9;fun of;whether huzzah;platter;rosin familiarize;2025-04-04;2025-04-04T02:22:09;2025-04-03T20:10:47
10;drat;jaggedly ugh;limply incidentally;bah;2025-04-04;2025-04-04T05:56:45;2025-04-03T16:33:12
